,smiles,core_smiles,E_neu(eV),E_an(eV),E_neu - E_an(eV),E(meV),GP-calibrated E vs Li/Li+ (V),GP uncertainty (meV),boltzmann_averaged_electronic_coupling (eV)
417,C[n+]1cc(-c2ccc(CC[N+](C)(C)C)[n+](C)c2)ccc1CC[N+](C)(C)C,C[n+]1cccc(-c2ccc[n+](C)c2)c1,-2091.139299,-2100.434916,9.295617514,4449.617514,2.636364409,238.7261334,
418,C[n+]1ccc(CC[N+](C)(C)C)c(-c2c[n+](C)ccc2CC[N+](C)(C)C)c1,C[n+]1cccc(-c2ccc[n+](C)c2)c1,-2091.159976,-2100.460314,9.300337918,4454.337918,2.638329724,238.8457582,
419,CN(C)c1cc(-c2cc[n+](C)cc2)cc[n+]1C,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,-1300.368614,-1309.543118,9.174504058,4328.504058,2.640514113,53.39887209,
420,C[N+](C)(C)CCc1cc2c(cc1CC[N+](C)(C)C)C(=O)c1ccccc1C2=O,O=C1c2ccccc2C(=O)c2ccccc21,-2205.687411,-2214.198595,8.511184093,3665.184093,2.64128931,18.3348267,
421,COc1c[n+](C)ccc1-c1cc[n+](C)cc1OC,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,-1428.06345,-1437.241531,9.178081035,4332.081035,2.642026016,52.73274107,
422,C[n+]1c(CC[N+](C)(C)C)cc(C(=O)c2ccccc2)cc1CC[N+](C)(C)C,CC[n+]1c(C)cc(C(=O)c2ccccc2)cc1C,-2161.502484,-2170.848203,9.345719177,4499.719177,2.650355705,71.29267375,
423,C[N+](C)(C)Cc1cccc2c1-c1c(C[N+](C)(C)C)cccc1C2=O,O=C1c2ccccc2-c2ccccc21,-1863.87945,-1872.252467,8.373016399,3527.016399,2.652358668,49.76292108,
424,C[n+]1ccc(C(=O)c2ccccc2)cc1C[N+](C)(C)C,CC[n+]1c(C)cc(C(=O)c2ccccc2)cc1C,-1546.548798,-1555.898135,9.349336484,4503.336484,2.652512765,71.98293284,
425,C[n+]1cccc(-c2cc(C[N+](C)(C)C)c[n+](C)c2)c1,C[n+]1cccc(-c2ccc[n+](C)c2)c1,-1476.288153,-1485.630958,9.342805204,4496.805204,2.657159769,239.9690252,
426,C[n+]1ccc(-c2c(O)c[n+](C)cc2O)cc1,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,-1256.050197,-1265.266838,9.216640437,4370.640437,2.659773847,48.41183915,
427,C[N+](C)(C)Cc1ccc2c(c1)C(=O)c1ccccc1C2=O,O=C1c2ccccc2C(=O)c2ccccc21,-1590.684995,-1599.232865,8.547869776,3701.869776,2.660423609,21.06522093,
428,C[n+]1ccc(C(=O)c2ccccc2)c(C[N+](C)(C)C)c1,CC[n+]1c(C)cc(C(=O)c2ccccc2)cc1C,-1546.8,-1556.189224,9.38922457,4543.22457,2.6698522,76.95814862,
429,COc1cc(-c2cc[n+](C)c(OC)c2)cc[n+]1C,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,-1428.310698,-1437.564899,9.254200749,4408.200749,2.676921897,44.16452466,
430,C[n+]1ccc(-c2cc[n+](C)c(O)c2)cc1O,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,-1256.446512,-1265.700798,9.254286253,4408.286253,2.67696077,44.07164606,
431,O=C1c2cccc(S)c2C(=O)c2c(S)cccc21,O=C1c2ccccc2C(=O)c2ccccc21,-1325.115512,-1333.700689,8.585176908,3739.176908,2.68030443,23.95522208,
432,C[n+]1cc(CC[N+](C)(C)C)cc(-c2cc(CC[N+](C)(C)C)c[n+](C)c2)c1,C[n+]1cccc(-c2ccc[n+](C)c2)c1,-2091.226797,-2100.623888,9.397091789,4551.091789,2.68062334,241.4563968,
433,CC1(C)N([O])C(c2c(CC[N+](C)(C)C)cccc2CC[N+](C)(C)C)=[N+]([O-])C1(C)C,CC1(C)N([O])C(c2ccccc2)=[N+]([O-])C1(C)C,-2429.659798,-2438.560189,8.900391717,4054.391717,2.682517284,53.70765535,
434,C[n+]1ccc(-c2cc[n+](C)cc2O)c(O)c1,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,-1256.079768,-1265.348511,9.268742835,4422.742835,2.683605207,42.52519531,
435,C[n+]1cccc(-c2ccc[n+](C)c2CC[N+](C)(C)C)c1CC[N+](C)(C)C,C[n+]1cccc(-c2ccc[n+](C)c2)c1,-2090.717962,-2100.123452,9.405489814,4559.489814,2.683983216,241.7048593,
436,C[N+](C)(C)CCc1ccc2c(c1)C(=O)c1cc(CC[N+](C)(C)C)ccc1C2=O,O=C1c2ccccc2C(=O)c2ccccc21,-2205.741668,-2214.334594,8.592925695,3746.925695,2.686653429,24.69441635,
437,COCCc1cc(-c2cc[n+](C)c(CCOC)c2)cc[n+]1C,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,-1772.352448,-1781.639033,9.286584534,4440.584534,2.691845908,40.23539634,
438,CC1(C)N([O])C(c2c(O)cccc2O)=[N+]([O-])C1(C)C,CC1(C)N([O])C(c2ccccc2)=[N+]([O-])C1(C)C,-1593.861774,-1602.780415,8.918640342,4072.640342,2.692174993,55.26326588,
439,C[n+]1cccc(-c2c[n+](C)ccc2C[N+](C)(C)C)c1,C[n+]1cccc(-c2ccc[n+](C)c2)c1,-1476.120396,-1485.551139,9.430742474,4584.742474,2.695050734,242.5235845,
440,C[n+]1cccc(-c2ccc(C[N+](C)(C)C)[n+](C)c2)c1,C[n+]1cccc(-c2ccc[n+](C)c2)c1,-1476.019723,-1485.45264,9.432916667,4586.916667,2.695952544,242.6069308,
441,COCCc1c[n+](C)ccc1-c1cc[n+](C)cc1,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,-1403.130473,-1412.428149,9.297675687,4451.675687,2.696574083,39.20188245,
442,CCc1c[n+](C)ccc1-c1cc[n+](C)cc1,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,-1206.60276,-1215.900432,9.297671653,4451.671653,2.696616899,39.1010654,
443,C[n+]1cccc(-c2ccc[n+](C)c2C[N+](C)(C)C)c1,C[n+]1cccc(-c2ccc[n+](C)c2)c1,-1475.69119,-1485.126621,9.435431116,4589.431116,2.696691837,242.6472811,
444,COCc1c[n+](C)ccc1-c1cc[n+](C)cc1COC,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,-1599.643597,-1608.943569,9.299971583,4453.971583,2.697572909,38.63697148,
445,CN(C)c1ccc2ncc(N(C)C)nc2c1,c1ccc2nccnc2c1,-1240.41405,-1246.837534,6.423484185,1577.484185,2.699475282,54.60880051,
446,Cc1c[n+](C)ccc1-c1cc[n+](C)cc1,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,-1120.504585,-1129.809287,9.304702772,4458.702772,2.699545371,38.03735319,
447,CN(C)c1cc[n+](C)c2c1ccc1ccc[n+](C)c12,C[n+]1cccc2ccc3ccc[n+](C)c3c21,-1416.92494,-1426.133331,9.208390919,4362.390919,2.705278673,265.6023333,
448,CN(C)c1nc2ccccc2nc1N(C)C,c1ccc2nccnc2c1,-1240.491631,-1246.941538,6.449907597,1603.907597,2.710422765,52.40621705,
449,CCc1cc(-c2cc[n+](C)c(CC)c2)cc[n+]1C,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,-1379.165953,-1388.501846,9.335892371,4489.892371,2.713405408,34.45258404,
450,COc1c[n+](C)ccc1-c1cc[n+](C)cc1,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,-1231.105384,-1240.444825,9.339440824,4493.440824,2.715197715,33.98997418,
451,CCc1cc(-c2cc[n+](C)cc2)cc(CC)[n+]1C,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,-1379.08852,-1388.435299,9.346779469,4500.779469,2.71814035,33.07403378,
452,COc1cc[n+](C)c2c1ccc1c(OC)cc[n+](C)c12,C[n+]1cccc2ccc3ccc[n+](C)c3c21,-1544.731771,-1553.97217,9.240398771,4394.398771,2.719861334,266.3712711,
453,C[N+](C)(C)Cc1cccc2c1C(=O)c1ccccc1C2=O,O=C1c2ccccc2C(=O)c2ccccc21,-1590.608097,-1599.267559,8.659461503,3813.461503,2.722708177,30.05290287,
454,Cc1cc(-c2cc[n+](C)c(C)c2)cc[n+]1C,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,-1206.990027,-1216.348457,9.358430112,4512.430112,2.723191819,31.41903562,
455,C[n+]1cccc2c(N)c(N)c3ccc[n+](C)c3c21,C[n+]1cccc2ccc3ccc[n+](C)c3c21,-1337.953841,-1347.203468,9.249627055,4403.627055,2.724248024,266.648841,
456,COCCc1cc(-c2cc[n+](C)cc2)cc(CCOC)[n+]1C,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,-1772.137841,-1781.49845,9.360609218,4514.609218,2.724255285,31.31330103,
457,CN(C)c1c(N(C)C)c2ccc[n+](C)c2c2c1ccc[n+]2C,C[n+]1cccc2ccc3ccc[n+](C)c3c21,-1682.2252,-1691.475374,9.250173259,4404.173259,2.72439676,266.6518079,
458,Nc1nc2ccccc2nc1N,c1ccc2nccnc2c1,-895.9282167,-902.4116873,6.483470621,1637.470621,2.724810644,49.50973294,
459,CN(C)c1cc2ccc3ccc[n+](C)c3c2[n+](C)c1,C[n+]1cccc2ccc3ccc[n+](C)c3c21,-1416.825075,-1426.086961,9.261886255,4415.886255,2.729592603,266.94304,
460,COc1cc(-c2cc[n+](C)cc2)cc(OC)[n+]1C,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,-1428.148632,-1437.525513,9.376880576,4530.880576,2.731473512,29.12844292,
461,COc1cc(-c2cc[n+](C)cc2)cc[n+]1C,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,-1231.223125,-1240.601749,9.378624394,4532.624394,2.732025311,28.89977747,
462,C[n+]1ccc(-c2cc[n+](C)c(O)c2)cc1,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,-1145.291798,-1154.670808,9.37900942,4533.00942,2.732233195,28.90666327,
463,C[n+]1ccc(-c2cc(O)[n+](C)c(O)c2)cc1,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,-1256.287274,-1265.666984,9.379710687,4533.710687,2.732429729,28.90878376,
464,Cc1cc(-c2cc[n+](C)cc2)cc(C)[n+]1C,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,-1206.894158,-1216.278285,9.384126428,4538.126428,2.734297379,28.23130392,
465,COCCc1cc(-c2cc[n+](C)cc2)cc[n+]1C,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,-1403.244412,-1412.636559,9.392147206,4546.147206,2.737791708,27.188778,
466,O=C1c2ccccc2C(=O)c2c(S)cccc21,O=C1c2ccccc2C(=O)c2ccccc21,-1236.522338,-1245.218616,8.69627796,3850.27796,2.741737403,33.04527842,
467,CC1(C)N([O])C(c2ccccc2S)=[N+]([O-])C1(C)C,CC1(C)N([O])C(c2ccccc2)=[N+]([O-])C1(C)C,-1460.371843,-1469.390609,9.018766632,4172.766632,2.742475762,64.70139066,
468,C[n+]1ccc(-c2c(S)c[n+](C)cc2S)cc1,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,-1210.800958,-1220.214557,9.413599276,4567.599276,2.747012414,24.51211397,
469,CC1(C)N([O])C(c2c(C[N+](C)(C)C)cccc2C[N+](C)(C)C)=[N+]([O-])C1(C)C,CC1(C)N([O])C(c2ccccc2)=[N+]([O-])C1(C)C,-2256.840547,-2265.873003,9.032455313,4186.455313,2.748629584,66.26453806,
